Stations_ID; Mess_Datum; Qualitaets_Niveau; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      232;19470311;   5;    6.8;   8.0;   7.3;  943.40;   78.00;-999;   10.7;    0.7;   -999;-999;   3.2;   1;    2.400;   0;eor
      232;19470312;   5;    1.8;   6.5;   8.0;  956.00;   91.00;-999;    6.5;    0.8;   -999;-999;   1.0;   8;    0.000;   0;eor
      232;19470313;   5;    7.4;   8.0;   8.0;  948.80;   81.00;-999;   11.3;    0.8;   -999;-999;   0.7;   1;    4.000;   0;eor
      232;19470314;   5;    9.0;   8.7;   6.3;  942.70;   74.00;-999;   12.2;    6.3;   -999;-999;   3.2;   8;    6.200;   0;eor
      232;19470315;   5;   -1.0;   4.8;   5.0;  961.10;   82.00;-999;    7.8;   -2.7;   -999;-999;   1.4;   7;    1.600;   0;eor
      232;19470316;   5;    2.4;   5.7;   7.0;  956.70;   81.00;-999;    6.3;   -4.5;   -999;-999;   0.0;   1;    6.400;   0;eor
      232;19470317;   5;   10.8;   9.2;   7.0;  953.50;   70.00;-999;   15.8;    2.4;   -999;-999;   0.1;   1;    4.000;   0;eor
      232;19470318;   5;   12.6;   8.4;   7.7;  950.40;   57.00;-999;   19.4;    7.0;   -999;-999;   0.0;   0;    7.200;   0;eor
      232;19470319;   5;    6.8;   8.8;   7.7;  943.50;   88.00;-999;   13.8;    6.0;   -999;-999;   0.6;   1;    0.000;   0;eor
      232;19470320;   5;    6.0;   8.1;   6.7;  943.50;   84.00;-999;   11.0;    4.2;   -999;-999;   5.4;   1;    4.000;   0;eor
      232;19470321;   5;   10.1;   7.9;   7.3;  949.90;   67.00;-999;   15.0;    4.2;   -999;-999;   0.0;   0;    2.900;   0;eor
      232;19470322;   5;   10.6;   8.7;   7.7;  945.80;   68.00;-999;   17.2;    7.0;   -999;-999;   7.1;   1;    2.000;   0;eor
      232;19470323;   5;    9.0;   8.1;   4.7;  947.10;   72.00;-999;   15.6;    5.9;   -999;-999;   1.5;   1;   10.500;   0;eor
      232;19470324;   5;    8.2;   8.1;   6.3;  946.00;   77.00;-999;   15.5;    3.1;   -999;-999;   2.3;   1;    6.300;   0;eor
      232;19470325;   5;    2.0;   5.9;   5.3;  956.80;   83.00;-999;   10.3;    1.4;   -999;-999;   0.6;   8;    0.000;   0;eor
      232;19470326;   5;    2.7;   6.3;   8.0;  951.90;   86.00;-999;    4.6;   -0.6;   -999;-999;   0.0;   0;    0.000;   0;eor
      232;19470327;   5;    7.0;   6.9;   7.0;  950.20;   70.00;-999;   11.6;    2.3;   -999;-999;   0.0;   0;    3.500;   0;eor
      232;19470328;   5;   11.1;   7.9;   6.3;  947.20;   63.00;-999;   19.3;    2.8;   -999;-999;   0.0;   0;    9.500;   0;eor
      232;19470329;   5;   11.8;   8.1;   7.7;  939.40;   62.00;-999;   22.3;    6.3;   -999;-999;   0.8;   1;    3.700;   0;eor
      232;19470330;   5;    5.8;   8.8;   8.0;  938.40;   93.00;-999;    9.4;    5.0;   -999;-999;  10.0;   1;    0.000;   0;eor
      232;19470331;   5;    6.9;   7.7;   7.0;  944.20;   79.00;-999;   10.8;    1.8;   -999;-999;   0.5;   1;    0.200;   0;eor
